src_bytes,failed_logins,same_srv_rate
3629.3666424998682,0,0.17941396162736478
3404.8000208189474,1,0.35548017123145714
4024.2680677397952,1,0.35153904292975
4034.395310762253,0,0.34698841470250463
4477.103658886579,0,0.2676314723961625
1926.3591172673803,2,0.19861146750027783
1911.7606235512778,0,0.3529833309320115
2347.2713967803093,0,0.14764200968576585
3924.224594406231,0,0.1805397987995115
4761.027730662872,1,0.3645537882296176
2400.9248413842492,0,0.1539356457608758
1774.487310777514,0,0.2888608598437199
8927.416792734512,0,0.37853671996057314
7061.653891871721,0,0.3065086957734712
2497.7789047443744,1,0.4526217656828396
2560.829754781919,1,0.3541858495618908
5795.776475882688,0,0.1649980191764529
3924.5839793952928,1,0.37460670666804763
2705.199104910412,1,0.4635698096333306
2598.3222488686506,1,0.1696558527588338
2290.0374508965665,2,0.3102905151473129
2228.398360485156,1,0.36220106038827526
3251.0325107901954,1,0.2565656267159967
8799.74781138396,1,0.27161704416761057
1384.0587418995055,1,0.3770144967359883
5115.473393483184,1,0.4073354605704802
2775.901054969674,0,0.28772911957187863
2262.054709551202,0,0.10448732672385588
1696.832845134632,0,0.3221614487138893
3126.871078253034,2,0.4507935035378212
4458.639243728296,1,0.22416459778380632
1307.3178064361202,1,0.41363003217424466
4615.174917011536,0,0.3076811247574487
2018.6759779864012,2,0.4235271298808333
1587.981764503285,1,0.18550619086625852
3122.874089810254,0,0.3729405625544966
1647.6191959574778,0,0.3819252189378879
7060.787797361292,0,0.4348672422560481
1706.248772678189,0,0.16306670550177774
3955.332766864222,1,0.3579988401222801
3159.0244096911174,1,0.49573137937639167
5021.674800738638,1,0.20498539599317198
2823.5113041087234,0,0.3645445240410895
1792.8791675281993,0,0.16094647654582872
3383.682282259008,0,0.26789248390758
8697.57432297507,2,0.4323195838806565
1713.53324508415,0,0.36943078300918886
2294.714423838074,0,0.4492638531408394
859.577712799646,1,0.41259676542330936
2707.734201888989,1,0.11371940167313724
5015.066597010354,0,0.4677970678016169
2599.673125990475,0,0.4313411526112231
5795.372322011599,0,0.28136374013139576
2464.961676201719,2,0.35045233489602656
2117.5935120364084,0,0.30413633543188556
1413.503317178099,0,0.3778700850916168
1645.972395710755,1,0.37965810907635245
2784.0563534261437,1,0.16976860486609902
4651.760723338005,2,0.3505126975340267
1973.2628025126933,0,0.2930466614605445
3898.882529535593,0,0.4021930527736677
6915.105786439941,1,0.38570966898919723
873.6776536678342,0,0.12525595183673388
3729.0415570933196,0,0.4793065839094731
5062.008887697378,0,0.3540023265206097
5380.884666146513,1,0.3417977419508445
2798.3658434159584,1,0.2903111561971355
1318.2749559484892,0,0.488655166376572
1319.4854540790814,2,0.10364123131472308
4737.171921411319,0,0.21401641094683332
6397.240824510355,0,0.19344085379987386
4014.148055778966,0,0.4086936923408221
3751.890217960479,0,0.15132262234239446
3378.3736486923394,0,0.29783072468556404
4387.819537104745,0,0.2866071530739014
1009.2876702900327,0,0.23896097545982142
2124.285439370884,1,0.31557487871810885
3756.4967710134774,0,0.16003904660480772
1924.9180679563503,2,0.14818073994494882
5052.504883695806,0,0.44352833154718174
2466.051531900703,0,0.26017648081965894
1243.9900714227335,0,0.20831405587665472
6291.661501087518,0,0.2592428349418726
3141.1411829817002,0,0.45514337453182885
2329.9883414731025,1,0.24086820251692884
2587.318169749721,2,0.183713732184144
4883.1514870302335,0,0.36742372205044505
1596.5043273617468,0,0.37810912138039576
1500.8019553314869,0,0.3722402640514908
4096.919391698483,1,0.2977952412211077
1760.3808898107277,2,0.46388595956179046
1332.1047860982499,4,0.38898041995774146
2796.675642718233,1,0.3757600733131583
1423.431589947542,0,0.3164424814932319
1738.3193729605807,0,0.2026985898741136
2129.091200027024,0,0.49599882912456306
2615.6677118644134,0,0.2634240893068307
3155.2650233444056,0,0.46124064187676117
3209.665768427937,1,0.4069915790543377
2686.1637922765794,0,0.14931868109040958
3765.0375995156674,0,0.2634042139094875
3397.028446934964,1,0.28464108967751867
2565.2349363723374,0,0.1224956145417413
3937.8928240445152,1,0.48163313395455276
2087.7006135130564,0,0.33615100202747383
4515.361420684227,0,0.46672411372344114
3444.5099855812514,0,0.2380689985041102
5212.918153783099,0,0.3742451504692701
1422.4557634799057,0,0.2786272624392694
1156.376011230679,0,0.44332352245894135
6651.848408682984,0,0.48059967199321985
